line_id,text
d1_intro_01,알람 소리에 눈을 떴다. 창밖은 이미 환했다.
d1_intro_02,벌써 일곱 시네. ...조금만 더 누워 있고 싶다.
d1_school_01,다음 주 수요일에 조별 발표를 한다. 주제는 온라인 광고와 확률 표현이야.
d1_school_02,첫날부터 조별 발표라니. 누구랑 같은 조지?
d1_message_cue_01,민재 메시지 도착 순서를 준비한다.
d1_minjae_invite_01,야 너 노트북 수리비 모은다 했지? 이거 한 번 봐봐.
d1_minjae_invite_02,신규 가입하면 5천 포인트 줌. 오늘 자정 전엔 추천 보너스도 두 배래.
d1_minjae_invite_03,난 방금 추천 보너스로 2만 포인트 받았어. 네 돈 넣는 것도 아니니까 잘되면 수리비도 빨리 채울 수 있잖아.
d2_start_01,목요일 아침이다. 어제 받은 조별과제 안내가 책상 위에 놓여 있다.
d2_school_01,어제 말한 역할 기억나? 상담 번호 부분은 네가 찾아줄래?
d2_minjae_01,어제 보낸 링크 아직 있지? 오늘도 흐름 괜찮다던데.
d2_minjae_02,자료 조사는 두 시간 걸린다며. 이건 결과 보는 데 얼마 안 걸림.
d2_study_done_01,1336 맞지? 네가 찾아준 번호로 자료 첫 장 정리했어.
d2_study_done_02,내일 학교에서 실제 사례 하나 같이 보자. 네가 먼저 핵심 문제를 골라봐.
d3_start_01,오늘 학교에서 서연이랑 실제 사례를 보기로 했지.
d3_school_01,어제 말한 사례 가져왔어. 우리 또래 학생 이야기야. 같이 볼래?
d3_school_02,응. 처음에는 어떻게 시작했대?
d3_school_reflection_01,오늘 학교에서 서연이가 보여 준 사례... 친구한테 돈까지 빌린 대목이 왜 자꾸 걸리지.
d4_start_01,토요일 아침. 첫 카페 근무가 한 시간 앞으로 다가왔다.
d4_job_01,첫 주말 근무라 긴장했지? 급하게 하다가 다치는 것보다 순서대로 하는 게 중요해.
d4_job_02,그래도 도망가지 않고 끝까지 했잖아. 오늘 일당 오만 원은 넣어뒀어. 노트북 수리비 모은다 했지? 하루 종일 일해서 번 돈이니 계획해서 써.
d5_start_01,일요일에도 같은 시간에 근무가 있다. 어제 외운 메뉴 이름이 머릿속을 맴돈다.
d5_job_01,어제보다 손이 빨라졌네. 주말마다 꾸준히 나오면 맡길 일도 늘어날 거야.
d5_job_02,오늘 일당만큼 수리비 목표에 가까워졌다. 힘들긴 해도 어디서 생긴 돈인지는 확실하네.
d6_start_01,월요일 아침. 주말 근무의 피로가 남아 있지만 발표자료를 만드는 날이다.
d6_school_01,첫 장에는 도박 사이트가 게임처럼 보이게 만드는 디자인을 넣자.
d6_school_02,캐릭터나 레벨이 있다고 무조건 게임은 아니라는 식으로?
