window_id,day,time_window,story_before,tablet_goal,available_actions,action_that_advances,time_cost,success_scene,miss_or_competing_scene,attention_dot_rule,dialogue_context,review_status
GLOBAL_MESSAGE,1..14,when_pending,any_message_cue,"메시지 앱에서 지정 대화방 열기",message,"pending contact open",0,pending_outgoing_delivery,return_to_home,"해당 연락처에만 빨간 점","주인공 발신 메시지는 채팅방 진입 뒤 한 번만 전송하고 상대 답장 뒤 필요한 주인공 마무리 답장을 보낸다.",REQUIRED
GLOBAL_SLEEP,1..14,21:00_or_story_end,bedtime_cue,"취침 앱 열기",sleep,"sleep confirm",to_next_day,day_end_summary,stay_home,"취침 가능 시점에만 빨간 점","조기 취침 기능은 만들지 않고 민재 대화와 도박과 당일 일정이 끝난 뒤 주인공 독백으로 오늘은 이만 자자라고 유도한다.",REQUIRED
GLOBAL_SCHOOL_LATE,1..14,after_08:00,school_pending,"지도 앱에서 학교 선택",map_school,"arrive school",remaining_until_16,daily_school_story,late_arrival,"학교 미완료 동안 지도 앱과 학교 목적지","오전 10시 이후도 등교 가능하며 지각만 기록하고 학교 핵심 스토리는 그대로 실행한다.",REQUIRED
GLOBAL_JOB_LATE,4|5|11|12,after_shift_start,job_pending,"지도 앱에서 카페 선택",map_cafe,"arrive before shift cutoff",shift_length,daily_job_story,job_missed_now,"출근 가능한 동안 지도 앱과 카페 목적지","도박 등으로 출근 마감을 넘기면 지도 앱을 닫고 아 늦을 것 같은데 어떡하지 독백 뒤 점장 메시지를 보여 준다.",REQUIRED
D1_MORNING,1,07:00,d1_intro,"지도 앱에서 학교 선택",map_school,"arrive school",to_16,d1_school_story,late_arrival,"지도 앱과 학교 목적지","1교시부터 수업이라는 당연한 사실을 설명하지 않고 늦기 전에 가야겠다는 독백만 사용한다.",READY
D1_AFTER_SCHOOL,1,16:00,d1_school_story,"메시지 앱에서 엄마 연락 확인",message_mom,"open mom chat",0,d1_mom_reply_result,return_to_home,"메시지 앱과 엄마 대화방","엄마의 연락이 먼저 도착한 뒤 다이얼로그를 띄우고 주인공이 답장을 보낸다.",READY
D1_TEMPTATION,1,after_mom_chat,d1_mom_reply_result,"메시지 앱에서 민재 링크 확인 또는 거절",message_minjae|casino,"open or decline link",60_if_open,gamble_1,d1_decline_link,"메시지 앱과 민재 대화방","수리비 목표와 무료 포인트 호기심을 제시하되 거절 상태를 gambling_started로 기록하지 않는다.",NEEDS_STATE_CHECK
D1_NIGHT,1,after_d1_choice,d1_after_first_gamble|d1_decline_link,"취침 앱 열기",sleep,"sleep confirm",to_day2,day2_start,stay_home,"취침 앱은 모든 우선 대화 종료 뒤","도박한 경우와 거절한 경우의 저녁 독백을 분리한다.",NEEDS_VARIANT
D2_SCHOOL,2,morning,day2_start,"지도 앱에서 학교 선택",map_school,"arrive school",to_16,d2_school_story,late_arrival,"지도 앱과 학교 목적지","등교 전에는 사례를 읽자는 과제 대사를 앞당기지 않는다.",READY
D2_AFTER_SCHOOL,2,16:00,d2_study_cue,"공부 앱 또는 도박 앱 선택",study|casino,"complete study or gamble session",study_activity_duration|120,d2_study_done,gamble_advance,"공부 앱을 우선 표시하고 민재 메시지 확인 뒤 도박 앱도 표시","VN 선택지를 제거하고 실제 앱 진입이 자료 조사와 도박 중 무엇을 했는지 확정한다.",REQUIRED
