line_id,column,replacement
d1_intro_02a,text,그래도 오늘까지 지각할 순 없지. 씻고 나가자.
d1_intro_goal_01,text,"며칠 전 책상에서 떨어뜨린 노트북이 아예 켜지지 않았다. 과제랑 발표에도 써야 하는데, 수리비랑 배터리 교체까지 25만 원이 든다고 했다."
d1_intro_goal_02,text,내가 떨어뜨린 거라 부모님께 또 부탁하기도 애매했다. 통장에 모아 둔 돈은 5만 원.
d1_intro_goal_03,text,"주말 알바는 하루 5만 원이니까, 이번 달에 네 번만 빠지지 않으면 수리비를 채울 수 있다. 괜히 다른 방법 찾지 말고 일정부터 지키자."
d1_school_01,text,다음 주 수요일에 조별 발표할 거야. 주제는 온라인 광고랑 확률 표현이고.
d1_school_03,text,우리 같은 조네. 일단 역할부터 나누자.
d1_school_05,text,내일 상담 번호 찾아줄래? 나는 예방치유원 자료 볼게. 금요일엔 사례 하나 같이 보자.
d1_school_06,text,상담 번호만 찾으면 돼? 출처도 같이 적어야 해?
d1_school_07,text,응. 번호만 적으면 어디서 나온 건지 모르니까 출처도 같이 부탁해.
d1_school_08,text,알겠어. 번호랑 출처까지 같이 정리할게.
d1_minjae_invite_01,text,야 너 노트북 수리비 모은다 했지? 이것 좀 봐.
d1_minjae_invite_02,text,신규 가입하면 5천P 줌. 오늘 자정 전에는 추천 보너스도 두 배래.
d1_minjae_invite_03,text,나 방금 추천 보너스로 2만P 받음 ㅋㅋ 네 돈 넣는 것도 아닌데 잘되면 수리비 빨리 채우잖아.
d1_minjae_invite_05,text,링크 보냈어. 진짜 보기만 해 봐.
d1_minjae_invite_06,text,링크는 받았어. 오늘 할 일부터 보고 내가 정할게.
d1_after_first_gamble_02,text,"한 판만 더 하면 수리비에 더 가까워질 수도 있다.... 여기서 멈출까, 한 번 더 할까."
d1_after_first_gamble_02,choice_a_text,한 번 더 한다
d1_after_first_gamble_02,choice_b_text,여기서 멈춘다
d2_school_01,text,어제 말한 거 기억나? 상담 번호 쪽 네가 찾아줄래?
d2_school_02,text,응. 번호만 찾으면 돼? 설명도 같이 정리할까?
d2_school_03,text,번호랑 어떤 상담을 받을 수 있는지만 한 줄 적어줘. 나는 자료 더 볼게.
d2_school_04,text,알겠어. 집 가서 찾아보고 보내줄게.
d2_minjae_01,text,그때 깐 앱 아직 있지? 오늘도 흐름 괜찮다던데.
d2_minjae_02,text,자료 조사 2시간 걸린다며. 이건 한 판이면 금방 끝남.
d2_minjae_03,text,"응, 봤어. 그래도 자료 조사부터 하고 볼게."
d2_study_done_00,text,서연아. 상담 번호 찾았어. 국번 없이 1336이래. 전화 상담도 된대.
d2_study_done_01,text,1336 맞지? 네가 찾아준 번호로 첫 장 정리했어.
d2_study_done_02,text,내일 학교에서 사례 하나 같이 보자. 네가 먼저 뭐가 문제인지 골라봐.
d2_minjae_00,text,또 그 앱 얘기네.... 공짜 포인트라고 해도 자꾸 신경 쓰이는 건 사실이다.
d2_study_cue_02,text,....그런데 민재가 보낸 도박 앱도 자꾸 생각난다.
minjae_reminder_d2_01,text,그 앱 아직 안 봤어? 숙제 끝나고라도 답해 줘.
d3_school_01,text,어제 말한 사례 가져왔어. 우리 또래 얘기야. 같이 볼래?
d3_school_03,text,처음엔 게임 아이템만 걸었는데 조금 땄대. 그러니까 다음에도 될 것 같았겠지.
d3_school_05,text,"한번 잃고 나니까 그것만 되찾자고 했대. 그러다 친구한테 돈까지 빌리고, 학교도 계속 빠졌고."
d3_minjae_01,text,그 앱 아직 있지? 오늘도 딱 한 판만 해 봐.
d3_minjae_02,text,아직 네 돈 더 넣는 것도 아니잖아. 잠깐만 보면 됨.
d3_minjae_03,text,앱은 아직 있어. 그래도 오늘 할 일부터 할게.
d3_study_done_00,text,오늘 같이 본 사례 다시 봤어. 돈 빌려서 다시 시작한 부분이 제일 위험해 보여.
d3_study_done_01,text,맞아. 잃은 돈 되찾겠다고 빌리기 시작한 게 제일 위험해 보여.
