category,status,severity,finding,required_change,integration_risk
money_motivation,PASS,low,"노트북 수리와 배터리 교체 250000원이라는 구체적 목표가 생겨 알바와 도박 유혹이 같은 돈 문제 안에서 충돌한다.","현재 초안 유지",low
normal_goal_math,PASS,low,"시작 잔액 50000원과 알바 4회 각 50000원을 합치면 도박 없이 정확히 250000원을 달성한다.","게임 통합 시 실제 알바 지급액도 반드시 50000원으로 통일",medium
gamble_fixed_math,PASS_WITH_CAUTION,medium,"고정 결과는 1회 +20000원 2회 +40000원 3회 -70000원 4회 +10000원 5회 잔액 0원 6회 잔액 0원이다.","회차별 결과와 은행 거래 내역이 같은 금액을 보여 주는지 통합 후 확인",medium
gamble_four_goal_collision,FIXED_IN_DRAFT,critical,"4회 도박과 알바 4회를 거치면 잔액이 250000원이 될 수 있지만 행동은 고위험 경로다.","예방 엔딩을 cash만으로 판정하지 않고 gamble_sessions 3 미만과 debt 0을 함께 요구",high
limited_win_missed_job,FIXED_IN_DRAFT,high,"2회 승리 후 알바 한 번을 빠져도 잔액 260000원으로 목표를 넘는다. 성실 근무 성공 문구를 쓰면 맥락이 틀린다.","job_attendance 4 미만이면서 cash 250000 이상인 혼합 달성 대사 사용",medium
no_gamble_route,PASS_WITH_VARIANTS,medium,"도박 0회 경로에서도 목표 달성 목표 미달 과제 실패 일정 붕괴가 각각 가능하다.","손실 복구와 빚 표현을 금지하고 일정 결과만 반영",medium
late_first_gamble,FIXED_IN_DRAFT,high,"1일차에 링크를 거절하고 나중에 처음 도박하면 기존 gamble_1이 1일차 저녁 장면으로 연결될 가능성이 있다.","after_gamble_1_router로 day 1과 day 2 이상을 분리",high
late_first_gamble_job_conflict,FIXED_IN_DRAFT,high,"알바 시간에 첫 도박을 하면 도박 결과와 결근 후속 대사의 순서가 충돌할 수 있다.","도박 종료 뒤 현재 일차와 출근 마감 시간을 검사해 결근 확정 후 점장 메시지 실행",high
late_school_story,FIXED_IN_SCHEDULE_DRAFT,medium,"오전 10시 이후 등교를 막지 않고 지각으로 처리하되 학교에서 일어나는 핵심 스토리는 그대로 실행해야 한다.","등교 제한 조건을 제거하고 지각 상태만 별도로 기록",medium
manager_knows_goal,FIXED_IN_DRAFT,medium,"점장님이 설명 없이 노트북 수리비를 알고 있던 문제가 있었다.","d4_job_01b에서 주인공이 먼저 목표를 말한 뒤 점장 대사 배치",low
job_missed_context,FIXED_IN_DRAFT,medium,"첫 결근일 수도 있는데 오늘도 또는 또라는 표현이 연속 결근을 단정했다.","각 일차의 현재 결근만 말하고 누적 결근은 별도 조건 대사로 분리",low
project_independence,PASS_WITH_VARIANTS,medium,"도박을 멈춰도 과제를 소홀히 했다면 서연과의 갈등은 남아야 한다.","project.progress good와 bad 장면을 엔딩 종류와 독립적으로 유지",medium
manager_advice_gate,PASS,low,"도박 3회 이상과 출근 2회 이상일 때만 점장의 경험담이 열려 관계 축적이 서사적으로 기능한다.","현재 조건 유지",low
manager_distant_gate,PASS,low,"출근 0회 또는 1회면 점장이 갑자기 깊은 상담자가 되지 않고 근무 관계가 멀어진다.","현재 조건 유지",low
help_requested_split,PASS,low,"도박 3회 이상 경로는 도움 요청 여부가 recovery와 no_help를 가른다.","도움 요청 상태가 중복 실행으로 덮어써지지 않게 통합 후 검사",medium
debt_owner_mom,PASS,low,"엄마에게 교통비라고 빌린 거짓말과 감사 답장과 후반 사실 고백이 연결된다.","상대별 라우터 유지",low
debt_owner_seojun,PASS,low,"서준에게 빌린 뒤 걱정과 상환 독촉과 감사 답장이 이어진다.","메시지 중복 전송 방지와 상대별 라우터 유지",medium
debt_owner_minjae,PASS,low,"민재가 도박을 권하면서 돈도 빌려주고 다시 상환을 압박하는 관계 모순이 의도적으로 회수된다.","d10과 d11과 d14에서 debt_owner minjae 분기 유지",medium
no_debt_recovery,FIXED_IN_DRAFT,high,"도박 손실은 있지만 빚을 거절한 경로에 갚아야 할 돈이 남았다는 문장이 나오면 안 된다.","debt 0과 debt 양수 회복 독백을 분리",low
loan_reject_continuation,PASS,medium,"5회차 뒤 가족과 서준에게 직접 빌리지 않고 민재의 제안까지 거절하면 다음 날로 진행된다.","다음 날 전환 전에 거절 메시지를 한 번만 보여 주고 미완료 일정 상태를 정산",medium
no_funds_retry,PASS,medium,"잔액 0원에서 다시 도박을 눌러도 회차가 증가하거나 음수 잔액이 되지 않는다.","gamble_no_funds 뒤 태블릿 일정으로 복귀",low
wipeout_timing,RULE_DEFINED_IN_MATRIX,high,"5회차의 cash set 0은 그 전에 받은 모든 알바비를 지운다. 손실 시점 뒤에 남은 알바 횟수에 따라 최종 잔액이 0원에서 200000원까지 달라진다.","목표 문구는 현재 cash와 남은 근무 수를 실제 계산해 표시",high
debt_after_wage,PASS_WITH_RULE,high,"빚을 진 뒤 알바비가 들어오면 현금은 생기지만 debt는 그대로 남을 수 있다.","현금 보유와 무채무를 동일시하지 말고 debt를 별도 판정",medium
debt_fully_repaid,FUTURE_FIX,high,"향후 상환 기능을 연결할 경우 debt가 0이어도 debt_owner 값이 남으면 상대별 채무 엔딩으로 잘못 갈 수 있다.","완납 시 debt_owner clear 또는 라우터에서 debt 양수를 먼저 확인",high
