scene_id,extra_trigger,return_to_tablet
d1_intro,,true
d1_school,,false
d1_message_cue,,false
d1_minjae_invite,,true
d2_start,,true
d2_school,,false
d2_minjae,,true
d2_study_done,,true
d3_start,,true
d3_school,,false
d3_school_reflection,,false
d3_minjae,,true
d3_study_done,,true
d4_start,,true
d4_job,,true
d4_missed,,false
d5_start,,false
d5_minjae,,true
d5_job,,true
d5_missed,,false
d6_start,,true
d6_school,,false
d6_minjae,,true
d6_study_done,,true
d7_start,,true
d7_school,,true
d7_study_done,,true
d8_start,,true
d8_project_good,,false
d8_project_bad,,false
d8_lecture,,true
d9_start,,false
d9_minjae,,true
d9_school,,true
d10_start,,false
d10_minjae_router,,false
d10_minjae,,true
d10_minjae_debt,,true
d11_start,,true
d11_job,,true
d11_minjae_debt_cafe,,true
d11_missed,,false
d12_start,,true
d12_start_stable,,true
d12_manager_help,,true
d12_manager_bond,,true
d12_manager_distant,,true
d12_missed,,false
d13_start_help,,true
d13_start_no_help,,true
d13_start_stable,,true
d13_consult,,false
d13_consult_response,,true
d13_hide_result,,true
gamble_1,,false
after_gamble_1_router,,false
late_first_gamble_return,,true
d1_after_first_gamble,,true
gamble_2,,true
gamble_3,,true
gamble_4,,true
gamble_5,,true
borrow_choice,,false
gamble_6,,true
gamble_no_funds,,true
minjae_loan_offer,,false
minjae_loan_rejected,,false
minjae_loan_accepted,,false
d1_mom_checkin,,false
d2_study_cue,,false
d3_minjae_school,,false
d3_seojun_normal,,false
d5_seoyeon_cafe,,true
d6_minjae_hallway,,false
d11_minjae_cafe,,true
mom_loan_message,,false
seojun_loan_message,,false
d14_no_help_debt_router,,false
d14_no_help_mom_router,,false
d14_no_help_minjae,,false
d14_no_help_no_debt,,false
d14_no_help_home_no_debt,,false
d14_recovery_debt_router,,false
d14_recovery_mom_router,,false
d14_recovery_minjae,,false
d14_recovery_no_debt,,false
sys_late_gamble_morning,,false
d6_mom_concern,,false
d9_mom_dinner,,false
d10_seojun_followup,,true
d10_school_checkin,,false
d14_no_help_messages,,true
d14_no_help_seojun,,false
d14_no_help_mom,,false
d14_no_help_home,,false
ending_no_help,,false
d14_prevented_school,,false
d14_prevented_goal_router,,false
d14_prevented_goal_mixed_router,,false
d14_prevented_goal_full,,false
d14_prevented_goal_mixed,,false
d14_prevented_goal_short,,false
d14_prevented_home,,false
ending_prevented,,false
d14_recovery_followup,,false
d14_recovery_goal_router,,false
d14_recovery_goal_debt,,false
d14_recovery_goal_no_debt,,false
d14_recovery_seojun,,false
d14_recovery_family,,false
d13_no_help_school,,false
d13_stable_school,,false
d4_job_missed_now,,true
d5_job_missed_now_first,,true
d5_job_missed_now_repeat,,true
d11_job_missed_now,,true
d12_job_missed_now,,true
gamble_repeat_loss,,true
