case_id,group,first_gamble_timing,gamble_sessions,stop_or_loan,debt_owner,job_attendance,project_result,manager_advice,help_requested,collapse,expected_cash,expected_route,expected_ending,required_context,risk,verdict
META01,coverage,any,0..6,any,none|mom|seojun|minjae,0..4,good|bad,true|false,true|false,true|false,depends,branch_equivalence,all,"아래 행은 결과와 대사 조건이 달라지는 모든 분기 동치군을 포괄한다. 같은 상태에 도달하는 클릭 순서만 다른 조합은 한 행으로 묶는다.",low,COVERED
META02,priority,any,any,any,any,any,any,any,any,true,any,collapse_check,collapse,"일정 실패 5회 이상 또는 결석 4회 이상 또는 알바 실패 3회 이상이면 다른 엔딩보다 붕괴를 우선한다.",high,RULE_REQUIRED
N00,no_gamble,never,0,decline,none,4,good,false,false,false,250000,d14_prevented_goal,prevented,"도박 관련 과거형을 쓰지 않고 네 번의 근무와 수리비 달성을 보상한다.",low,PASS
N01,no_gamble,never,0,decline,none,4,bad,false,false,false,250000,d14_prevented_goal,prevented,"수리비는 달성하지만 서연과의 과제 갈등은 별도 대사로 남긴다.",medium,PASS_WITH_VARIANT
N02,no_gamble,never,0,decline,none,3,good,false,false,false,200000,d14_prevented_short,prevented,"도박은 피했지만 한 번의 결근 때문에 목표액이 부족하다는 점을 인정한다.",low,PASS
N03,no_gamble,never,0,decline,none,3,bad,false,false,false,200000,d14_prevented_short,prevented,"예방 성공과 과제 실패를 동시에 보여 주고 둘 중 하나를 지우지 않는다.",medium,PASS_WITH_VARIANT
N04,no_gamble,never,0,decline,none,0..2,good|bad,false,false,false,<200000,d14_prevented_short,prevented,"붕괴 기준 미만이라면 목표 미달 계획을 제시하고 도박 손실 표현은 금지한다.",medium,PASS_WITH_VARIANT
N05,no_gamble,never,0,decline,none,0..4,good|bad,false,false,true,depends,collapse_check,collapse,"도박을 하지 않아도 일정 실패가 누적되면 생활 붕괴는 가능하다. 엔딩 문구에서 손실 복구 집착은 제외해야 한다.",high,NEEDS_COLLAPSE_VARIANT
L10,limited_day1,day1,1,stop,none,4,good,false,false,false,270000,d14_prevented_goal,prevented,"무료 포인트 첫 승리는 인정하되 네 번의 임금만으로도 목표를 달성했다는 점을 중심에 둔다.",low,PASS
L11,limited_late,day2..14,1,stop,none,4,good,false,false,false,270000,late_first_gamble_return_to_prevented,prevented,"1일차 저녁 장면으로 돌아가지 않고 실제 발생일의 남은 일정으로 복귀한다.",high,FIX_IN_DRAFT
L12,limited_one,any,1,stop,none,3,good,false,false,false,220000,d14_prevented_short,prevented,"첫 승리가 있어도 근무 한 번을 빠지면 목표액은 부족하다.",low,PASS
L13,limited_one,any,1,stop,none,0..2,good|bad,false,false,false,<=170000,d14_prevented_short,prevented,"목표 미달을 도박 재개 이유로 만들지 않고 남은 근무 계획으로 돌린다.",medium,PASS_WITH_VARIANT
L14,limited_one,job_day,1,stop,none,0..3,good|bad,false,false,false,depends,late_first_gamble_return,prevented,"첫 도박 때문에 카페에 못 간 경우 점장 연락과 수리비 오만 원 공백을 모두 보여 준다.",high,SCENE_LINK_REQUIRED
L20,limited_two,any,2,stop,none,4,good,false,false,false,310000,d14_prevented_goal,prevented,"초기 두 승리 뒤 멈췄더라도 안전한 수익으로 표현하지 않는다. 근무 네 번이 정상 목표를 채웠음을 강조한다.",medium,PASS_WITH_CAUTION
L21,limited_two,any,2,stop,none,3,good,false,false,false,260000,d14_prevented_goal_mixed,prevented,"결근했는데도 승리금 때문에 목표액에 도달한다. 성실 근무 성공 대사를 사용하면 안 된다.",high,FIX_IN_DRAFT
L22,limited_two,any,2,stop,none,0..2,good|bad,false,false,false,<=210000,d14_prevented_short,prevented,"두 번 이긴 뒤에도 일정 손실이 크면 목표 미달이다.",medium,PASS_WITH_VARIANT
L23,limited_two,any,2,stop,none,0..4,bad,false,false,false,depends,d8_project_bad_then_prevented,prevented,"도박 조기 중단이 과제 실패와 서연 갈등을 자동 복구하지 않는다.",medium,PASS_WITH_VARIANT
L24,limited_any,any,0..2,stop,none,0..4,good|bad,false,false,true,depends,collapse_check,collapse,"도박 횟수가 적어도 일정 실패 조건이 먼저 충족되면 붕괴 엔딩을 우선한다.",high,RULE_REQUIRED
H30,loss_three,any,3,g3_stop,none,2..4,good,true,true,false,40000+50000*job_attendance,d14_recovery_no_debt,recovery,"첫 손실 뒤 멈추고 점장 조언을 받아 선생님께 사실대로 말한다.",low,PASS
H31,loss_three,any,3,g3_stop,none,2..4,bad,true,true,false,40000+50000*job_attendance,d14_recovery_no_debt,recovery,"회복을 시작해도 서연과의 과제 갈등은 사과와 후속 정리가 필요하다.",medium,PASS_WITH_VARIANT
